,text,ad hominem,anecdotal fallacy,appeal to authority,appeal to consequences,appeal to emotion,appeal to fear,appeal to novelty,appeal to popularity,appeal to ridicule,appeal to tradition,argument from ignorance,bandwagon fallacy,circular reasoning,correlation vs. causation,equivocation,false analogy,false attribution,false dilemma,genetic fallacy,guilt by association,hasty generalization,no true scotsman,red herring,slippery slope,straw man,tu quoque,appeal to motive,loaded question,misleading vividness,none,composition/division,other
0,"Because cases spiked rapidly in New York City back in March, it justified us closing down the whole country.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
1,A mother says that she does not trust her pediatrician because he has never been a mother.,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2,"When NAFTA was passed, there was an acceleration of immigration from Mexico because people were in search of jobs.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
3,President Petutti ordered a military strike that killed many civilians. He is no different than any other mass murder and he belongs in prison!,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
4,"Says that Republicans bragged about how every bill was going to be paid for, right from the beginning and that the first vote, the repeal of health care reform, violated that rule.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
5,"There are more laws on the books than ever before, and more crimes are being committed than ever before. Therefore, to reduce crime, we must eliminate the laws.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
6,"The immigration bill includes free Obamacars, motorcycles or scooters.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0,1,0.0,0,0.0,0,0,0.0,0.0
7,"In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
8,"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
9,"If we allow a housing development to be built on Sunny Lake, a resort will come next, and soon we won’t have any wilderness left!",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0.0
10,"Twice as much (federal) money is going back to Hawaii, Virginia and Alaska than is coming home to Oregon.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
11,The Atlanta Braves are the oldest continuously operating professional sports franchise in America.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
12,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
13,On restoring voting rights to non-violent felons.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
14,Says Obama has doubled the stock market from where we started when he was sworn into office,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
15,There is debate among constitutional scholars about whether the First Amendment will continue to protect faith leaders from being forced to perform marriages against their religious beliefs.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
16,Says Gov. Chris Christies decision to close the Elizabeth MVC saved no money.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
17,The countrys bankrupt.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
18,"Says in Washington, D.C., Sen. Richard Burr took millions from special interests, went there and cashed in, voted to cut (his) own taxes and raise taxes on working folks.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
19,"Says he cured Charlie Sheen and the island of Comoros of HIV with milk from goats, which had arthritis.",0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
20,"According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
21,My mom says that most tourist from France are rude. She had to wait on one the other day and the lady threw her pancakes on the ground because they were not big enough.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
22,"The most popular name is no longer John or Steven. Its Jose, Camilo and Maria.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
23,"Person #1: We need to start high school later in the morning. Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
24,Distracting and dangerous mobile devices should be banned from use in vehicles.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
25,"Billy: How could the universe be 6000 years old when we know the speed of light, the distance of astronomical objects (13+ billion light years away), and the fact that the light has reached us[1]? Marty: 6000 years is not a firm number.  The universe can be as old as about 10,000 years. Billy: How do you figure that?...",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0
26,You are either with God or against him.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
27,The $290 million structural surplus in the 2011-13 Wisconsin budget is not real because it is based on the assumption that Congress will reinstate the estate tax.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
28,Says taxes paid by the poorest residents of Texas are above the national average.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
29,Says its absurd to say theres enough data to establish a link between playing football and Chronic Traumatic Encephalopathy.,0.0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
30,"When Chuck Schumer and Marco Rubio tried to push amnesty, it was Ted Cruz who stopped them.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
31,Our unemployment rate is now lower than it was before the financial crisis.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
32,Claims Wisconsin Senate Majority Leader Scott Fitzgerald said: It is necessary to eliminate unions in order to balance future budgets.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
